Node Name,CTS Retry,ACK Retry,# Receiver Drops,# Pkts Receiver Drops,# Sent ACKs,# Pkts ACK Sent For,# Retransmissions,# Pkts Retransmitted,# Receptions,# Pkts Received,# Forwards,# Pkts Forwarded,drop_expiry,drop_q_mngmnt,drop_retry,drop_overflow,drop_no_route
Node0,240,1049,5,5,0,0,1289,1350,0,0,344,439,126,0,1071,0,0
Node1,245,663,368,407,1069,1166,908,1157,1069,1165,248,410,511,0,742,0,0
Node2,282,846,351,510,559,728,1128,1238,559,721,160,313,469,0,994,0,0
Node3,133,576,385,468,718,874,709,826,718,872,180,338,168,0,672,0,0
Node4,184,668,325,400,508,669,852,954,508,666,147,297,315,0,595,0,0
Node5,145,476,294,328,618,783,621,762,618,772,152,301,224,0,525,0,0
Node6,353,1502,257,305,443,603,1855,1881,443,592,2,6,1981,0,595,0,0
Node7,145,955,188,204,1462,1466,1100,1100,1462,1466,26,78,1260,0,553,0,0
Node8,0,0,123,125,1045,1097,0,0,1045,1097,0,0,0,0,0,0,0
Node9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
