Node Name,CTS Retry,ACK Retry,# Receiver Drops,# Pkts Receiver Drops,# Sent ACKs,# Pkts ACK Sent For,# Retransmissions,# Pkts Retransmitted,# Receptions,# Pkts Received,# Forwards,# Pkts Forwarded,drop_expiry,drop_q_mngmnt,drop_retry,drop_overflow,drop_no_route
Node0,171,3308,45,45,0,0,3479,4794,0,0,46,47,897,0,147,0,0
Node1,173,379,256,452,3849,4923,552,1019,3849,4787,38,43,1041,0,81,0,0
Node2,110,409,138,213,328,587,519,909,328,511,31,39,82,0,70,0,0
Node3,84,431,175,274,336,571,515,875,336,503,24,36,65,0,80,0,0
Node4,82,366,180,268,346,583,448,722,346,525,17,33,63,0,74,0,0
Node5,64,375,128,184,331,531,439,671,331,487,10,30,36,0,79,0,0
Node6,48,448,63,85,374,564,496,823,374,528,0,0,34,0,98,0,0
Node7,38,430,82,103,434,708,468,781,434,681,0,0,20,0,102,0,0
Node8,0,0,30,51,467,775,0,0,467,730,0,0,0,0,0,0,0
Node9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node10,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node11,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node12,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node13,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node14,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node15,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node16,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node17,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
