Node Name,CTS Retry,ACK Retry,# Receiver Drops,# Pkts Receiver Drops,# Sent ACKs,# Pkts ACK Sent For,# Retransmissions,# Pkts Retransmitted,# Receptions,# Pkts Received,# Forwards,# Pkts Forwarded,drop_expiry,drop_q_mngmnt,drop_retry,drop_overflow,drop_no_route
Node0,0,121,0,0,0,0,121,149,0,0,582,602,0,0,24,0,0
Node1,336,912,36,36,591,611,1248,1417,591,611,259,416,141,0,420,0,0
Node2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node3,220,503,461,576,758,928,723,1054,758,915,232,440,3,0,327,0,0
Node4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node5,626,1779,246,296,429,671,2405,2419,429,639,1,3,1230,0,261,0,0
Node6,269,1290,210,218,1634,1636,1559,1559,1634,1636,11,31,1005,0,210,0,0
Node7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node8,0,0,177,179,1386,1406,0,0,1386,1406,0,0,0,0,0,0,0
Node9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node10,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node11,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node12,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node13,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node14,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node15,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node16,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node17,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
