Node Name,CTS Retry,ACK Retry,# Receiver Drops,# Pkts Receiver Drops,# Sent ACKs,# Pkts ACK Sent For,# Retransmissions,# Pkts Retransmitted,# Receptions,# Pkts Received,# Forwards,# Pkts Forwarded,drop_expiry,drop_q_mngmnt,drop_retry,drop_overflow,drop_no_route
Node0,134,4232,20,20,0,0,4366,4958,0,0,62,68,1356,0,11,0,0
Node1,47,102,151,231,5345,5816,149,273,5345,5746,46,62,1580,0,24,0,0
Node2,21,135,42,72,121,202,156,296,121,174,35,59,0,0,42,0,0
Node3,35,141,59,108,136,246,176,288,136,229,21,56,0,0,41,0,0
Node4,40,156,64,107,123,213,196,308,123,191,17,50,0,0,44,0,0
Node5,61,282,75,105,138,223,343,623,138,214,0,0,0,0,89,0,0
Node6,54,263,28,49,260,467,317,592,260,443,0,0,12,0,74,0,0
Node7,38,265,35,45,258,475,303,557,258,447,0,0,18,0,63,0,0
Node8,0,0,11,21,298,543,0,0,298,511,0,0,0,0,0,0,0
Node9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node10,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node11,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node12,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node13,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node14,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node15,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node16,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node17,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
